Service.Name,Service.Size,Cost.Per.Hour
EC2,t1.micro,0.03
EC2,t2.micro,0.02
EC2,t2.small,0.04
EC2,t2.medium,0.08
EC2,m1.medium,0.12
EC2,m3.medium,0.10
EC2,m3.large,0.20
EC2,m3.xlarge,0.39
EC2,m3.2xlarge,0.78
EC2,c3.large,0.13
EC2,c3.xlarge,0.27
EC2,c3.2xlarge,0.53
EC2,c3.4xlarge,1.06
EC2,c3.8xlarge,2.12
EC2,g2.2xlarge,0.90
EC2,r3.large,0.21
EC2,r3.xlarge,0.42
EC2,r3.2xlarge,0.84
EC2,r3.4xlarge,1.68
EC2,r3.8xlarge,3.36
EC2,i2.xlarge,1.02
EC2,i2.2xlarge,2.04
EC2,i2.4xlarge,4.07
EC2,i2.8xlarge,8.14
EC2,hs1.8xlarge,5.57
RDS,db.t2.micro,0.03
RDS,db.t2.small,0.05
RDS,db.t2.medium,0.10
RDS,db.m3.medium,0.12
RDS,db.m3.large,0.24
RDS,db.m3.xlarge,0.49
RDS,db.m3.2xlarge,0.97
RDS,db.r3.large,0.29
RDS,db.r3.xlarge,0.57
RDS,db.r3.2xlarge,1.14
RDS,db.r3.4xlarge,2.27
RDS,db.r3.8xlarge,4.54
Redshift,dw1.xlarge,0.85
Redshift,dw1.8xlarge,6.8
Redshift,dw2.large,0.25
Redshift,dw2.8xlarge,4.8
